y,X
0.041146542,0.015378146
-0.007102878,0.041146542
0.016238876,-0.007102878
-0.026334314,0.016238876
-0.021472415,-0.026334314
-0.015168419,-0.021472415
0.006391886,-0.015168419
-0.04244629,0.006391886
-0.016403014,-0.04244629
0.023657446,-0.016403014
-0.02836841,0.023657446
0.079062007,-0.02836841
0.016330092,0.079062007
-0.001486281,0.016330092
0.007138986,-0.001486281
0.009785985,0.007138986
0.00667865,0.009785985
0.062073444,0.00667865
-0.016101594,0.062073444
0.010610635,-0.016101594
0.008146762,0.010610635
0.030911706,0.008146762
-0.04633726,0.030911706
0.021327526,-0.04633726
0.020961385,0.021327526
-0.029338351,0.020961385
0.014383073,-0.029338351
-0.039621452,0.014383073
0.033911634,-0.039621452
-0.007778189,0.033911634
0.010472216,-0.007778189
0.001959271,0.010472216
0.03858866,0.001959271
0.019823132,0.03858866
0.002455368,0.019823132
0.024580354,0.002455368
0.005906882,0.024580354
0.034432966,0.005906882
-0.024399465,0.034432966
-0.004203058,-0.024399465
0.007381907,-0.004203058
0.012759787,0.007381907
0.001848483,0.012759787
-0.010320691,0.001848483
-0.022176453,-0.010320691
-0.001991333,-0.022176453
-0.013372795,-0.001991333
0.005470796,-0.013372795
0.020975473,0.005470796
0.036867601,0.020975473
0.013351813,0.036867601
0.008411598,0.013351813
0.004012478,0.008411598
0.022987988,0.004012478
-0.018740852,0.022987988
-0.016530594,-0.018740852
0.015924693,-0.016530594
-0.011746483,0.015924693
0.009654264,-0.011746483
-0.012419286,0.009654264
0.02434218,-0.012419286
0.005587866,0.02434218
0.001791451,0.005587866
-0.012815772,0.001791451
-0.025584113,-0.012815772
-0.010109877,-0.025584113
-0.016757186,-0.010109877
-0.003283579,-0.016757186
-0.019109862,-0.003283579
0.011112853,-0.019109862
0.014169256,0.011112853
-0.03959709,0.014169256
0.001573511,-0.03959709
0.019292605,0.001573511
0.010561226,0.019292605
0.021619793,0.010561226
-0.017665238,0.021619793
-0.013630585,-0.017665238
0.027571942,-0.013630585
-0.035571969,0.027571942
-0.000108892,-0.035571969
0.012245589,-0.000108892
-0.007548952,0.012245589
0.005631004,-0.007548952
-0.00680321,0.005631004
-0.029292588,-0.00680321
-0.009932541,-0.029292588
-0.017379084,-0.009932541
-0.005925283,-0.017379084
0.002819724,-0.005925283
-0.078281974,0.002819724
0.038389177,-0.078281974
-0.025128424,0.038389177
0.014102743,-0.025128424
-0.022575951,0.014102743
0.036061153,-0.022575951
0.025309763,0.036061153
-0.023990851,0.025309763
-0.020353976,-0.023990851
-0.006416284,-0.020353976
0.030242721,-0.006416284
-0.006632894,0.030242721
-0.006445998,-0.006632894
-0.0242951,-0.006445998
0.037511398,-0.0242951
0.018003218,0.037511398
0.03959995,0.018003218
